29	0	69	16
36	0	76	19
39	0	59	18
38	0	58	17
29	0	59	15
36	0	66	18
31	0	68	17
32	0	69	17
32	0	65	16
41	0	74	20
36	0	69	18
36	0	69	18
32	0	69	17
41	0	78	21
32	0	69	17
32	0	69	17
31	0	72	17
32	0	73	17
32	0	69	17
41	0	78	21
36	0	69	18
36	0	69	18
36	0	69	18
36	0	69	18
32	0	69	17
32	0	69	17
29	0	69	16
36	0	76	19
43	0	72	21
43	0	72	21
39	0	72	19
41	0	74	20
39	0	72	19
41	0	74	20
39	0	72	19
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
41	0	74	20
38	0	74	19
44	0	80	22
44	0	76	21
44	0	76	21
44	0	80	22
47	0	83	23
44	0	80	22
47	0	83	23
44	0	76	21
47	0	79	23
44	0	80	22
47	0	83	23
47	0	87	23
47	0	87	23
47	0	87	23
47	0	87	23
52	3	101	28
52	3	101	28
52	3	103	29
52	3	103	29
52	3	103	29
53	4	104	30
53	5	98	29
52	4	97	28
52	5	93	29
53	6	94	30
50	7	98	30
52	9	100	32
57	3	104	30
59	5	106	32
67	7	104	35
69	9	106	37
63	11	100	36
59	7	96	32
52	8	104	32
52	8	104	32
59	5	104	32
59	5	104	32
58	15	106	38
61	18	109	41
56	12	108	36
52	8	104	32
59	10	110	36
61	12	112	38
69	9	106	37
69	9	106	37
66	12	102	38
69	15	105	41
66	12	102	38
69	15	105	41
66	12	102	38
69	15	105	41
66	12	102	38
69	15	105	41
66	12	102	38
69	15	105	41
66	12	102	38
69	15	105	41
65	12	106	38
68	15	109	41
68	14	113	41
68	14	113	41
69	9	106	37
69	9	106	37
65	11	110	38
71	17	116	44
66	10	110	38
69	13	113	41
65	12	106	38
68	15	109	41
69	9	106	37
67	7	104	35
59	11	104	35
61	13	106	37
55	6	104	31
59	10	108	35
63	11	100	36
59	7	96	32
55	6	104	31
59	10	108	35
59	6	100	32
59	6	100	32
50	6	104	30
52	8	106	32
52	3	101	28
52	3	101	28
45	0	90	23
52	4	97	28
49	0	82	23
49	0	82	23
49	0	80	23
49	0	80	23
47	0	79	23
47	0	79	23
44	0	80	22
47	0	83	23
44	0	76	21
47	0	79	23
44	0	76	21
44	0	76	21
44	0	76	21
44	0	76	21
