8	0	73	10
8	0	73	10
8	0	73	10
7	0	72	10
4	0	74	9
5	0	75	10
5	0	83	10
12	0	90	13
14	0	92	14
14	0	92	14
11	0	88	13
17	1	94	16
21	6	106	21
28	13	113	28
25	13	125	29
25	13	125	29
25	19	120	32
25	19	120	32
31	26	122	38
25	20	116	32
25	19	120	32
29	23	124	36
34	29	123	41
29	24	118	36
31	26	122	38
29	24	120	36
25	19	120	32
25	19	120	32
34	29	123	41
25	20	114	32
25	13	125	29
25	13	125	29
31	15	124	32
28	12	121	29
28	11	125	29
21	4	118	22
20	3	103	19
11	0	94	14
11	0	92	13
11	0	92	13
14	0	88	14
12	0	86	13
5	0	83	10
12	0	90	13
14	0	88	14
14	0	88	14
16	0	104	16
22	5	110	22
20	3	103	19
17	0	100	16
15	5	103	19
25	15	113	29
22	15	125	29
25	18	128	32
25	19	124	32
31	25	130	38
29	23	124	36
34	28	129	41
31	26	122	38
34	29	125	41
29	30	133	41
33	34	137	45
34	28	129	41
31	25	126	38
31	26	122	38
31	26	122	38
28	17	120	32
32	21	124	36
35	19	124	35
31	15	120	31
28	12	121	29
29	13	122	30
28	11	125	29
28	11	125	29
17	0	104	16
17	0	104	16
14	0	88	14
14	0	88	14
8	0	83	11
8	0	83	11
8	0	83	11
8	0	83	11
8	0	83	11
8	0	83	11
10	0	98	14
16	0	104	16
19	3	103	19
16	0	100	16
18	8	106	22
25	15	113	29
28	17	120	32
28	17	120	32
35	32	128	43
39	36	132	47
42	48	145	57
38	44	141	53
46	59	143	64
40	53	137	58
38	44	145	53
36	42	143	51
40	50	155	58
38	48	153	56
39	38	153	51
41	40	155	53
37	32	128	44
31	26	122	38
31	15	120	31
29	13	118	29
23	6	104	22
23	6	104	22
23	8	94	22
20	5	91	19
11	0	92	13
11	0	92	13
11	0	88	13
11	0	88	13
14	0	92	14
14	0	92	14
16	0	104	16
22	5	110	22
28	17	124	32
25	14	121	29
32	21	124	36
28	17	120	32
34	29	123	41
34	29	123	41
38	51	135	56
34	47	131	52
42	63	139	65
39	60	136	62
43	69	153	70
51	77	161	78
64	124	171	111
54	114	161	101
65	121	190	112
51	107	176	98
47	111	193	101
